#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2024 Jan 13 23:14:18
F00016	NSO	1958-F07	R4  F       	NOTS EV1 No. 1 Stage 4	NOTS 8in	1958 Jul 25	L05130	1958 Jul 25	Earth	1958 Jul 25	S	-	NOTS	US	NOTS	NOTS-8	-	      15 	 	      3 	 	       3 	 	   0.5 	 	  0.2 	 	    0.5 	 	Cyl	1958 Jul 25	   -6370	?	      12	?	 90.00 	 	ATM	-	-
F00017	NSO	1958-F07	R5  F       	NOTS EV1 No. 1 Stage 5	NOTS 3in Sph.	1958 Jul 25	F00016	1958 Jul 25	Earth	1958 Jul 25	AS	-	NOTS	US	NOTS	NOTS-3S	-	       1 	 	      0 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere + Cone	1958 Jul 25	   -6370	?	      12	?	 90.00 	 	ATM	-	-
F00018	NSO	1958-F07	P   F       	NOTS 1	Diagnostic Payload 1	1958 Jul 25	F00017	1958 Jul 25	Earth	1958 Jul 25	AS	-	NOTS	US	NOTS	NOTS Satellite	-	       1 	 	      1 	 	       1 	 	   0.2 	 	  0.1 	 	    0.2 	 	Cyl	1958 Jul 25	   -6370	?	      12	?	 90.00 	 	ATM	-	-
F00019	NSO	1958-F08	R4  F       	NOTS EV1 No. 2 Stage 4	NOTS 8in	1958 Aug 12	L05231	1958 Aug 12	Earth	1958 Aug 12	S	-	NOTS	US	NOTS	NOTS-8	-	      15 	 	      3 	 	       3 	 	   0.5 	 	  0.2 	 	    0.5 	 	Cyl	1958 Aug 12	   -6378	 	      12	 	 90.00 	 	ATM	-	-
F00020	NSO	1958-F08	R5  F       	NOTS EV1 No. 2 Stage 5	NOTS 3in Sph.	1958 Aug 12	F00019	1958 Aug 12	Earth	1958 Aug 12	AS	-	NOTS	US	NOTS	NOTS-3S	-	       1 	 	      0 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere + Cone	1958 Aug 12	   -6378	 	      12	 	 90.00 	 	ATM	-	-
F00021	NSO	1958-F08	P   F       	NOTS 2	Diagnostic Payload 2	1958 Aug 12	F00020	1958 Aug 12	Earth	1958 Aug 12	AS	-	NOTS	US	NOTS	NOTS Satellite	-	       1 	 	      1 	 	       1 	 	   0.2 	 	  0.1 	 	    0.2 	 	Cyl	1958 Aug 12	   -6378	 	      12	 	 90.00 	 	ATM	-	-
F00022	NSO	1958-F09	R3  F       	Thor Able I Stage 3	Altair X-248-A3	1958 Aug 17	L05265	1958 Aug 17 1219	Earth	1958 Aug 17	S	-	AFBMD	US	ABL	Altair	-	      24 	 	     24 	 	      24 	 	   1.5 	 	  0.5 	 	    1.5 	 	Cyl	1958 Aug 17	   -6370	?	      16	 	 30.00 	?	ATM	-	-
F00023	NSO	1958-F09	P   F       	Pioneer Lunar Probe	Able I	1958 Aug 17	F00022	1958 Aug 17 1219	Earth	1958 Aug 17	AS	-	ARPA/AFBMD	US	TRW	Able I Pioneer	TX-8 Falcon	      22 	 	     22 	 	      38 	 	   0.7 	 	  0.7 	 	    1.0 	 	DCone	1958 Aug 17	   -6370	?	      16	 	 30.00 	?	ATM	-	:UA,:UC,Able I
F00024	NSO	1958-F09	C  MF       	TX-8 Falcon	TX-8 Falcon	1958 Aug 17	F00023	1958 Aug 17 1219	Earth	1958 Aug 17	AS	-	AFBMD	US	THKX	TX-8	-	      16 	 	      5 	 	       0 	 	   0.2 	 	  0.2 	 	    0.2 	 	Cone	1958 Aug 17	   -6370	?	      16	 	 30.00 	?	ATM	-	-
F00025	NSO	1958-F10	R4  F       	NOTS EV1 No. 3 Stage 4	NOTS 8in	1958 Aug 22	R02356	1958 Aug 22	Earth	1958 Aug 22	S	-	NOTS	US	NOTS	NOTS-8	-	      15 	 	      3 	 	       3 	 	   0.5 	 	  0.2 	 	    0.5 	 	Cyl	1958 Aug 22	   -4000	?	      80	?	 90.00 	 	ATM	-	-
F00026	NSO	1958-F10	R5  F       	NOTS EV1 No. 3 Stage 5	NOTS 3in Sph.	1958 Aug 22	F00025	1958 Aug 22	Earth	1958 Aug 22	AS	-	NOTS	US	NOTS	NOTS-3S	-	       1 	 	      0 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere + Cone	1958 Aug 22	   -4000	?	      80	?	 90.00 	 	ATM	-	-
F00027	NSO	1958-F10	P   F       	NOTS 3	Diagnostic Payload 3	1958 Aug 22	F00026	1958 Aug 22	Earth	1958 Aug 22	AS	-	NOTS	US	NOTS	NOTS Satellite	-	       1 	 	      1 	 	       1 	 	   0.2 	 	  0.1 	 	    0.2 	 	Cyl	1958 Aug 22	   -4000	?	      80	?	 90.00 	 	ATM	-	-
F00028	NSO	1958-F11	R4  F       	Cluster 8 Assembly 4	RTV Motor	1958 Aug 24	R02359	1958 Aug 24 0623	Earth	1958 Aug 24	S	-	JPL	US	JPL	RTV Motor	-	       9 	 	      9 	 	       9 	 	   1.2 	 	  0.1 	 	    1.2 	 	Cyl	1958 Aug 24	    -713	 	    1125	 	 75.00 	 	SO	-	-
F00029	NSO	1958-F11	P   F       	Explorer V	Explorer 5	1958 Aug 24	F00028	1958 Aug 24 0623	Earth	1958 Aug 24	AS	-	ABMA/JPL	US	JPL	Explorer	-	       5 	 	      5 	 	       5 	 	   0.8 	 	  0.1 	 	    0.8 	 	Cyl	1958 Aug 24	    -713	 	    1125	 	 75.00 	 	SO	-	-
F00030	NSO	1958-F12	R4  F       	NOTS EV1 No. 4 Stage 4	NOTS 8in	1958 Aug 25	L05287	1958 Aug 25	Earth	1958 Aug 25	S	-	NOTS	US	NOTS	NOTS-8	-	      15 	 	      3 	 	       3 	 	   0.5 	 	  0.2 	 	    0.5 	 	Cyl	1958 Aug 25	   -6378	 	      12	 	 90.00 	 	ATM	-	-
F00031	NSO	1958-F12	R5  F       	NOTS EV1 No. 4 Stage 5	NOTS 3in Sph.	1958 Aug 25	F00030	1958 Aug 25	Earth	1958 Aug 25	AS	-	NOTS	US	NOTS	NOTS-3S	-	       1 	 	      0 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere + Cone	1958 Aug 25	   -6378	 	      12	 	 90.00 	 	ATM	-	-
F00032	NSO	1958-F12	P   F       	NOTS 4	Radiation Payload 1	1958 Aug 25	F00031	1958 Aug 25	Earth	1958 Aug 25	AS	-	NOTS	US	NOTS	NOTS Satellite	-	       1 	 	      1 	 	       1 	 	   0.2 	 	  0.1 	 	    0.2 	 	Cyl	1958 Aug 25	   -6378	 	      12	 	 90.00 	 	ATM	-	-
F00033	NSO	1958-F13	R4  F       	NOTS EV1 No. 5 Stage 4	NOTS 8in	1958 Aug 26	L05299	1958 Aug 26	Earth	1958 Aug 26	S	-	NOTS	US	NOTS	NOTS-8	-	      15 	 	      3 	 	       3 	 	   0.5 	 	  0.2 	 	    0.5 	 	Cyl	1958 Aug 26	   -6378	 	      12	 	 90.00 	 	ATM	-	-
F00034	NSO	1958-F13	R5  F       	NOTS EV1 No. 5 Stage 5	NOTS 3in Sph.	1958 Aug 26	F00033	1958 Aug 26	Earth	1958 Aug 26	AS	-	NOTS	US	NOTS	NOTS-3S	-	       1 	 	      0 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere + Cone	1958 Aug 26	   -6378	 	      12	 	 90.00 	 	ATM	-	-
F00035	NSO	1958-F13	P   F       	NOTS 5	Radiation Payload 2	1958 Aug 26	F00034	1958 Aug 26	Earth	1958 Aug 26	AS	-	NOTS	US	NOTS	NOTS Satellite	-	       1 	 	      1 	 	       1 	 	   0.2 	 	  0.1 	 	    0.2 	 	Cyl	1958 Aug 26	   -6378	 	      12	 	 90.00 	 	ATM	-	-
F00036	NSO	1958-F14	R4  F       	NOTS EV1 No. 6 Stage 4	NOTS 8in	1958 Aug 28	L05320	1958 Aug 28	Earth	1958 Aug 28	S	-	NOTS	US	NOTS	NOTS-8	-	      15 	 	      3 	 	       3 	 	   0.5 	 	  0.2 	 	    0.5 	 	Cyl	1958 Aug 28	   -6378	 	      13	?	 90.00 	 	ATM	-	-
F00037	NSO	1958-F14	R5  F       	NOTS EV1 No. 6 Stage 5	NOTS 3in Sph.	1958 Aug 28	F00036	1958 Aug 28	Earth	1958 Aug 28	AS	-	NOTS	US	NOTS	NOTS-3S	-	       1 	 	      0 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere + Cone	1958 Aug 28	   -6378	 	      13	?	 90.00 	 	ATM	-	-
F00038	NSO	1958-F14	P   F       	NOTS 6	Radiation Payload 3	1958 Aug 28	F00037	1958 Aug 28	Earth	1958 Aug 28	AS	-	NOTS	US	NOTS	NOTS Satellite	-	       1 	 	      1 	 	       1 	 	   0.2 	 	  0.1 	 	    0.2 	 	Cyl	1958 Aug 28	   -6378	 	      13	?	 90.00 	 	ATM	-	-
F00039	NSO	1958-F15	R3  F       	Vostok 8K72 No. 3 Stage 3	8K72E No. B1-3	1958 Sep 23	L05416	1958 Sep 23 0904	Earth	1958 Sep 23	S	-	OKB1	SU	OKB1	Blok-E	-	    1279 	 	   1279 	 	    1279 	 	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1958 Sep 23	   -6378	?	      80	?	 65.00 	?	ATM	-	-
F00040	NSO	1958-F15	P   F       	AMS	E-1 No. 1	1958 Sep 23	F00039	1958 Sep 23 0904	Earth	1958 Sep 23	AS	-	NII88	SU	OKB1	E-1	-	     170 	 	    170 	 	     170 	 	   0.8 	 	  0.8 	 	    2.0 	 	Sphere + Ant	1958 Sep 23	   -6378	?	      80	?	 65.00 	?	ATM	-	-
F00041	NNA S	1958-U01	R3  F       	Vanguard SLV-3 Stage 3	GRC 33-KS-2800 172-12-24	1958 Sep 26	R02490	1958 Sep 26 1545	Earth	1958 Sep 26	S	-	NRL	US	GCR	33-KS-2800	-	     195 	 	     22 	 	      22 	 	   1.5 	 	  0.7 	 	    1.5 	 	Cyl	1958 Sep 26	      65	 	     425	 	 32.80 	 	TA	-	-
F00042	NNA S	1958-U01	P   F       	Vanguard	Cloud cover satellite	1958 Sep 26	F00041	1958 Sep 26 1550	Earth	1958 Sep 26	S	-	NRL	US	NRL	NRL 20"	-	      10 	 	     10 	 	      10 	 	   0.5 	 	  0.5 	 	    0.5 	 	Sphere	1958 Sep 26	      65	 	     425	 	 32.80 	 	TA	-	:UA,:VA,Vanguard Group II FU2:VB
F00043	NSO	1958-F17	R3  F       	Vostok 8K72 No. 4 Stage 3	8K72E No. B1-4	1958 Oct 11	L05460	1958 Oct 11 2343	Earth	1958 Oct 11	S	-	OKB1	SU	OKB1	Blok-E	-	    1279 	 	   1279 	 	    1279 	 	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1958 Oct 11	   -6378	?	      80	?	 65.00 	?	ATM	-	-
F00044	NSO	1958-F17	P   F       	AMS	E-1 No. 2	1958 Oct 11	F00043	1958 Oct 11 2343	Earth	1958 Oct 11	AS	-	NII88	SU	OKB1	E-1	-	     170 	 	    170 	 	     170 	 	   0.8 	 	  0.8 	 	    2.0 	 	Sphere + Ant	1958 Oct 11	   -6378	?	      80	?	 65.00 	?	ATM	-	-
F00045	NSO	1958-F18	R4  F       	Cluster 10 Assembly 4	RTV Motor	1958 Oct 23	R02552	1958 Oct 23 0322	Earth	1958 Oct 23	S	-	ABMA	US	JPL	RTV Motor	-	       9 	 	      9 	 	      29 	 	   1.2 	 	  0.1 	 	    1.2 	 	Cyl	1958 Oct 23	   -6300	?	     100	?	 50.00 	?	SO	-	-
